SMILES,Catalog_ID,IUPAC_Name,URL
NCCC(=O)NC1CCCCC1,EN300-51026,3-amino-N-cyclohexylpropanamide,https://www.enaminestore.com/catalog/EN300-51026
O=C(O)c1cccc(S(=O)(=O)Nc2cccc(C(F)(F)F)c2)c1,EN300-00305,3-{[3-(trifluoromethyl)phenyl]sulfamoyl}benzoic acid,https://www.enaminestore.com/catalog/EN300-00305
O=C(O)c1cc(S(=O)(=O)NCc2ccccc2)ccc1O,EN300-00349,5-(benzylsulfamoyl)-2-hydroxybenzoic acid,https://www.enaminestore.com/catalog/EN300-00349
NCCO,EN300-19392,2-aminoethan-1-ol,https://www.enaminestore.com/catalog/EN300-19392
NCCc1ccccn1,EN300-20439,2-(pyridin-2-yl)ethan-1-amine,https://www.enaminestore.com/catalog/EN300-20439
c1nnc[nH]1,EN300-20608,"4H-1,2,4-triazole",https://www.enaminestore.com/catalog/EN300-20608
CCOC(=O)c1c(N)sc2c1CC(C)(C)NC2(C)C,EN300-02289,"ethyl 2-amino-5,5,7,7-tetramethyl-4H,5H,6H,7H-thieno[2,3-c]pyridine-3-carboxylate",https://www.enaminestore.com/catalog/EN300-02289
Cc1ccc(NCc2ccco2)cc1,EN300-02472,N-[(furan-2-yl)methyl]-4-methylaniline,https://www.enaminestore.com/catalog/EN300-02472
NNC(=O)c1cccc(S(=O)(=O)Nc2ccc(Cl)cc2)c1,EN300-03580,N-(4-chlorophenyl)-3-(hydrazinecarbonyl)benzene-1-sulfonamide,https://www.enaminestore.com/catalog/EN300-03580
Nc1ccc(S(=O)(=O)NCc2ccco2)cc1,EN300-02201,4-amino-N-[(furan-2-yl)methyl]benzene-1-sulfonamide,https://www.enaminestore.com/catalog/EN300-02201
Cc1onc(-c2ccccc2Cl)c1C(=O)O,EN300-18171,"3-(2-chlorophenyl)-5-methyl-1,2-oxazole-4-carboxylic acid",https://www.enaminestore.com/catalog/EN300-18171
Cc1ccc(-c2ccccc2C(=O)O)cc1,EN300-17191,"4'-methyl-[1,1'-biphenyl]-2-carboxylic acid",https://www.enaminestore.com/catalog/EN300-17191
CC(=O)NN,EN300-18497,acetohydrazide,https://www.enaminestore.com/catalog/EN300-18497
O=C(O)C(Cl)c1ccccc1,EN300-21393,2-chloro-2-phenylacetic acid,https://www.enaminestore.com/catalog/EN300-21393
Cc1nn(-c2ccc(F)cc2)c2sc(C(=O)O)cc12,EN300-00810,"1-(4-fluorophenyl)-3-methyl-1H-thieno[2,3-c]pyrazole-5-carboxylic acid",https://www.enaminestore.com/catalog/EN300-00810
COc1ccc2cc(-c3cc(C(=O)O)c4ccccc4n3)ccc2c1,EN300-00800,2-(6-methoxynaphthalen-2-yl)quinoline-4-carboxylic acid,https://www.enaminestore.com/catalog/EN300-00800
Cc1nc2cc(F)cc(C(=O)O)c2nc1C,EN300-50229,"7-fluoro-2,3-dimethylquinoxaline-5-carboxylic acid",https://www.enaminestore.com/catalog/EN300-50229
Nc1cc(S(=O)(=O)N2CCCCC2)ccc1N1CCCCC1,EN300-02369,2-(piperidin-1-yl)-5-(piperidine-1-sulfonyl)aniline,https://www.enaminestore.com/catalog/EN300-02369
Nc1ccc(C(F)(F)F)cc1,EN300-20241,4-(trifluoromethyl)aniline,https://www.enaminestore.com/catalog/EN300-20241
NC(=O)C(N)C(N)=O,EN300-26953,2-aminopropanediamide,https://www.enaminestore.com/catalog/EN300-26953
O=C(O)C(c1ccccc1)c1ccccc1,EN300-20209,"2,2-diphenylacetic acid",https://www.enaminestore.com/catalog/EN300-20209
NNC(=O)c1ccc(Cl)c(S(=O)(=O)Nc2ccccc2Cl)c1,EN300-03764,2-chloro-N-(2-chlorophenyl)-5-(hydrazinecarbonyl)benzene-1-sulfonamide,https://www.enaminestore.com/catalog/EN300-03764
OB(O)c1cc(Cl)cc(Cl)c1,EN300-59198,"(3,5-dichlorophenyl)boronic acid",https://www.enaminestore.com/catalog/EN300-59198
Nc1nc2c(F)cc(F)cc2s1,EN300-02493,"4,6-difluoro-1,3-benzothiazol-2-amine",https://www.enaminestore.com/catalog/EN300-02493
O=C(CCl)Nc1c(I)cc(I)cc1I,EN300-01534,"2-chloro-N-(2,4,6-triiodophenyl)acetamide",https://www.enaminestore.com/catalog/EN300-01534
CC(C)(C)c1ccc(OCCC(=O)O)cc1,EN300-00120,3-(4-tert-butylphenoxy)propanoic acid,https://www.enaminestore.com/catalog/EN300-00120
O=C(O)c1ccc(CSc2ccc(Cl)cc2)cc1,EN300-00062,4-{[(4-chlorophenyl)sulfanyl]methyl}benzoic acid,https://www.enaminestore.com/catalog/EN300-00062
O=C(O)c1c2c(nc3ccccc13)C(=Cc1cccs1)CCC2,EN300-00856,"4-[(thiophen-2-yl)methylidene]-1,2,3,4-tetrahydroacridine-9-carboxylic acid",https://www.enaminestore.com/catalog/EN300-00856
CC(=O)NC(N)=O,EN300-19984,acetylurea,https://www.enaminestore.com/catalog/EN300-19984
COc1cc(C=O)ccc1OC(=O)c1cccnc1,EN300-01103,4-formyl-2-methoxyphenyl pyridine-3-carboxylate,https://www.enaminestore.com/catalog/EN300-01103
COc1ccc2nc(C)cc(Cl)c2c1,EN300-01570,4-chloro-6-methoxy-2-methylquinoline,https://www.enaminestore.com/catalog/EN300-01570
O=C(O)c1c2c(nc3ccccc13)C(=Cc1ccc(O)cc1)CC2,EN300-00936,"3-[(4-hydroxyphenyl)methylidene]-1H,2H,3H-cyclopenta[b]quinoline-9-carboxylic acid",https://www.enaminestore.com/catalog/EN300-00936
CCN(CC)CCNCc1cccs1,EN300-12931,[2-(diethylamino)ethyl][(thiophen-2-yl)methyl]amine,https://www.enaminestore.com/catalog/EN300-12931
CC(=O)Nc1ccc(S(=O)(=O)N(C)c2ccc(OCC(=O)O)cc2)cc1,EN300-00562,2-[4-(N-methyl-4-acetamidobenzenesulfonamido)phenoxy]acetic acid,https://www.enaminestore.com/catalog/EN300-00562
c1csc(NC2CCCCC2)n1,EN300-02426,"N-cyclohexyl-1,3-thiazol-2-amine",https://www.enaminestore.com/catalog/EN300-02426
NNC(=O)Cc1nc2ccccc2[nH]1,EN300-03781,"2-(1H-1,3-benzodiazol-2-yl)acetohydrazide",https://www.enaminestore.com/catalog/EN300-03781
c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,EN300-19163,triphenyl phosphite,https://www.enaminestore.com/catalog/EN300-19163
O=C(NCCO)c1cccc(S(=O)(=O)N2CCCCC2)c1,EN300-03008,N-(2-hydroxyethyl)-3-(piperidine-1-sulfonyl)benzamide,https://www.enaminestore.com/catalog/EN300-03008
Cc1cc(S(=O)(=O)Nc2ccccc2C(=O)O)ccc1F,EN300-00471,2-(4-fluoro-3-methylbenzenesulfonamido)benzoic acid,https://www.enaminestore.com/catalog/EN300-00471
Nc1cccc(-c2csc(N)n2)c1,EN300-02230,"4-(3-aminophenyl)-1,3-thiazol-2-amine",https://www.enaminestore.com/catalog/EN300-02230
Cc1c(CCl)cc(C(=O)O)cc1CCl,EN300-00166,"3,5-bis(chloromethyl)-4-methylbenzoic acid",https://www.enaminestore.com/catalog/EN300-00166
O=C(CCl)c1ccc2c(c1)-c1cc(C(=O)CCl)ccc1C2,EN300-01880,2-chloro-1-[6-(2-chloroacetyl)-9H-fluoren-3-yl]ethan-1-one,https://www.enaminestore.com/catalog/EN300-01880
NNC(=O)Cc1cn2ccsc2n1,EN300-03636,"2-{imidazo[2,1-b][1,3]thiazol-6-yl}acetohydrazide",https://www.enaminestore.com/catalog/EN300-03636
CCCCOCCO,EN300-19317,2-butoxyethan-1-ol,https://www.enaminestore.com/catalog/EN300-19317
Clc1ccc(Nc2nc3ccccc3s2)cc1,EN300-02507,"N-(4-chlorophenyl)-1,3-benzothiazol-2-amine",https://www.enaminestore.com/catalog/EN300-02507
Cc1ccccc1NC1=NCCS1,EN300-02452,"N-(2-methylphenyl)-4,5-dihydro-1,3-thiazol-2-amine",https://www.enaminestore.com/catalog/EN300-02452
O=C1Nc2c(Br)cccc2C1=O,EN300-01156,"7-bromo-2,3-dihydro-1H-indole-2,3-dione",https://www.enaminestore.com/catalog/EN300-01156
O=C(O)C(Cc1cnc[nH]1)N1C(=O)c2ccccc2C1=O,EN300-00254,"2-(1,3-dioxo-2,3-dihydro-1H-isoindol-2-yl)-3-(1H-imidazol-5-yl)propanoic acid",https://www.enaminestore.com/catalog/EN300-00254
CCN1CCc2nc(N)sc2C1,EN300-02413,"5-ethyl-4H,5H,6H,7H-[1,3]thiazolo[5,4-c]pyridin-2-amine",https://www.enaminestore.com/catalog/EN300-02413
CC1(c2ccc3c(c2)OCCCO3)NC(=O)NC1=O,EN300-12923,"5-(3,4-dihydro-2H-1,5-benzodioxepin-7-yl)-5-methylimidazolidine-2,4-dione",https://www.enaminestore.com/catalog/EN300-12923
Oc1ccc(OC(F)(F)F)cc1,EN300-91578,4-(trifluoromethoxy)phenol,https://www.enaminestore.com/catalog/EN300-91578
O=C(O)c1cccc(OCc2ccccc2)c1,EN300-08215,3-(benzyloxy)benzoic acid,https://www.enaminestore.com/catalog/EN300-08215
O=C(CCl)NC(=O)Nc1ccc2c(c1)OCCO2,EN300-05665,"3-(2-chloroacetyl)-1-(2,3-dihydro-1,4-benzodioxin-6-yl)urea",https://www.enaminestore.com/catalog/EN300-05665
Cn1c(=O)c(Br)c(N)n(Cc2ccccc2)c1=O,EN300-01976,"6-amino-1-benzyl-5-bromo-3-methyl-1,2,3,4-tetrahydropyrimidine-2,4-dione",https://www.enaminestore.com/catalog/EN300-01976
O=C(COc1ccccc1C(=O)O)Nc1ccc(Br)cc1,EN300-00212,2-{[(4-bromophenyl)carbamoyl]methoxy}benzoic acid,https://www.enaminestore.com/catalog/EN300-00212
CC1(CCc2ccccc2)NC(=O)NC1=O,EN300-04038,"5-methyl-5-(2-phenylethyl)imidazolidine-2,4-dione",https://www.enaminestore.com/catalog/EN300-04038
Cc1ccc(N(CCC#N)C(=O)CCl)cc1,EN300-08168,2-chloro-N-(2-cyanoethyl)-N-(4-methylphenyl)acetamide,https://www.enaminestore.com/catalog/EN300-08168
CCOC=C1C(=O)N(c2ccc(OCC)cc2)C(=O)c2ccccc21,EN300-04006,"4-(ethoxymethylidene)-2-(4-ethoxyphenyl)-1,2,3,4-tetrahydroisoquinoline-1,3-dione",https://www.enaminestore.com/catalog/EN300-04006
C1CCC(NC2=NCCCS2)CC1,EN300-02874,"N-cyclohexyl-5,6-dihydro-4H-1,3-thiazin-2-amine",https://www.enaminestore.com/catalog/EN300-02874
N#Cc1ccc(OCC(=O)O)cc1,EN300-00087,2-(4-cyanophenoxy)acetic acid,https://www.enaminestore.com/catalog/EN300-00087
COc1cc(C=O)ccc1OCC(=O)Nc1c(Cl)cccc1Cl,EN300-01136,"N-(2,6-dichlorophenyl)-2-(4-formyl-2-methoxyphenoxy)acetamide",https://www.enaminestore.com/catalog/EN300-01136
COc1ccccc1NC(=O)COc1ccc(C(=O)O)cc1OC,EN300-00218,3-methoxy-4-{[(2-methoxyphenyl)carbamoyl]methoxy}benzoic acid,https://www.enaminestore.com/catalog/EN300-00218
Cc1ccc(-n2c(C)cc(C=O)c2C)cc1,EN300-04086,"2,5-dimethyl-1-(4-methylphenyl)-1H-pyrrole-3-carbaldehyde",https://www.enaminestore.com/catalog/EN300-04086
COc1ccc(-c2csc(C)n2)cc1OC,EN300-01420,"4-(3,4-dimethoxyphenyl)-2-methyl-1,3-thiazole",https://www.enaminestore.com/catalog/EN300-01420
O=C(O)c1ccc2[nH]ccc2c1,EN300-69795,1H-indole-5-carboxylic acid,https://www.enaminestore.com/catalog/EN300-69795
COC(=O)c1c(NC(=O)CCl)sc(C)c1C,EN300-04444,"methyl 2-(2-chloroacetamido)-4,5-dimethylthiophene-3-carboxylate",https://www.enaminestore.com/catalog/EN300-04444
CC(=O)C12CC3CC(CC(O)(C3)C1)C2,EN300-03264,1-(3-hydroxyadamantan-1-yl)ethan-1-one,https://www.enaminestore.com/catalog/EN300-03264
CN(c1ccc(O)cc1)S(=O)(=O)c1ccc(Cl)cc1,EN300-04844,4-chloro-N-(4-hydroxyphenyl)-N-methylbenzene-1-sulfonamide,https://www.enaminestore.com/catalog/EN300-04844
Cc1ccc(-c2nn(-c3ccccc3)cc2C=O)o1,EN300-01143,3-(5-methylfuran-2-yl)-1-phenyl-1H-pyrazole-4-carbaldehyde,https://www.enaminestore.com/catalog/EN300-01143
Cc1ccc(-c2nn(Cc3ccccc3)cc2C(=O)O)cc1,EN300-11787,1-benzyl-3-(4-methylphenyl)-1H-pyrazole-4-carboxylic acid,https://www.enaminestore.com/catalog/EN300-11787
Cc1ccc(NC(=O)C=NO)cc1,EN300-05016,2-(N-hydroxyimino)-N-(4-methylphenyl)acetamide,https://www.enaminestore.com/catalog/EN300-05016
OB(O)c1ccc(Br)cc1,EN300-74359,(4-bromophenyl)boronic acid,https://www.enaminestore.com/catalog/EN300-74359
O=C(O)CC(Br)C(=O)c1ccc(Cl)cc1,EN300-04601,3-bromo-4-(4-chlorophenyl)-4-oxobutanoic acid,https://www.enaminestore.com/catalog/EN300-04601
